Date,Time,Exercise,# of Reps,Weight,Notes
5/24/2023,6:56,Seated Calf Raise,20,400,
5/24/2023,6:56,Seated Calf Raise,20,400,
5/24/2023,6:56,Seated Calf Raise,20,425,
5/24/2023,6:56,Seated Calf Raise,20,475,
5/24/2023,6:56,Seated Calf Raise,20,475,
5/24/2023,6:56,Seated Calf Raise,20,525,
5/24/2023,6:56,Seated Calf Raise,20,525,
5/24/2023,6:56,Seated Calf Raise,25,525,
5/24/2023,6:56,Seated Calf Raise,25,525,
5/14/2023,11:05,Leg Extension,12,100,
5/14/2023,11:05,Leg Extension,15,100,
5/14/2023,11:05,Leg Extension,15,100,
5/14/2023,11:05,Leg Extension,15,130,
5/14/2023,11:05,Leg Extension,15,130,
5/14/2023,11:05,Leg Extension,10,160,
5/14/2023,11:00,Leg Curl,15,100,
5/14/2023,11:00,Leg Curl,15,100,
5/14/2023,11:00,Leg Curl,12,115,
5/14/2023,11:00,Leg Curl,10,115,
5/14/2023,11:00,Leg Curl,12,130,
5/14/2023,11:00,Leg Curl,12,145,
5/14/2023,11:00,Leg Curl,10,145,
5/14/2023,10:41,Seated Calf Raise,24,180,
5/14/2023,10:41,Seated Calf Raise,25,180,
5/14/2023,10:41,Seated Calf Raise,25,190,
5/14/2023,10:41,Seated Calf Raise,20,190,
5/14/2023,10:41,Seated Calf Raise,25,200,
5/14/2023,10:41,Seated Calf Raise,28,200,
5/14/2023,10:41,Seated Calf Raise,25,215,
5/14/2023,10:41,Seated Calf Raise,25,215,
5/14/2023,10:41,Seated Calf Raise,20,215,
5/14/2023,10:21,Triceps Extension,22,50,
5/14/2023,10:21,Triceps Extension,18,50,
5/14/2023,10:21,Triceps Extension,17,57.5,
5/14/2023,10:21,Triceps Extension,12,65,
5/14/2023,10:21,Triceps Extension,10,65,
5/14/2023,10:21,Triceps Extension,10,72.5,
5/14/2023,10:21,Triceps Extension,8,72.5,
5/14/2023,10:21,Triceps Extension,15,50,
5/13/2023,8:47,Triceps Extension,20,35,
5/13/2023,8:47,Triceps Extension,22,35,
5/13/2023,8:47,Triceps Extension,18,42.5,
5/13/2023,8:47,Triceps Extension,20,42.5,
5/13/2023,8:47,Triceps Extension,15,42.5,
5/13/2023,8:47,Triceps Extension,14,42.5,
5/13/2023,8:47,Triceps Extension,18,42.5,
5/13/2023,8:44,Dips,10,140,
5/13/2023,8:44,Dips,10,155,
5/13/2023,8:44,Dips,10,170,
5/13/2023,8:44,Dips,10,185,
5/13/2023,8:44,Dips,9,200,
5/13/2023,8:44,Dips,7,200,
5/13/2023,8:44,Dips,5,200,
5/13/2023,8:21,Shoulder Shrug,20,70,
5/13/2023,8:21,Shoulder Shrug,15,70,
5/13/2023,8:21,Shoulder Shrug,16,70,
5/13/2023,8:21,Shoulder Shrug,15,90,
5/13/2023,8:21,Shoulder Shrug,20,90,
5/13/2023,8:21,Shoulder Shrug,15,110,
5/13/2023,8:21,Shoulder Shrug,12,130,
5/13/2023,8:21,Shoulder Shrug,10,140,
